standardized_lender_name,standardized_lender_type,lender_color_group,n
Bank SBI Indonesia,Other Private Sector,Non-Chinese Institution,1
Bank Sumsel Babel,Other State-owned Bank,Non-Chinese Institution,1
Bank Sumut,Other State-owned Bank,Non-Chinese Institution,1
Bank Syariah Mandiri,Other State-owned Bank,Non-Chinese Institution,1
Bank Tabungan Pensiunan Nasional,Other Private Sector,Non-Chinese Institution,1
Bank Woori Saudara Indonesia 1906,Other Private Sector,Non-Chinese Institution,1
Bank ZENIT,Other Private Sector,Non-Chinese Institution,1
Bank of Chaoyang,Chinese State-owned Commercial Bank,Chinese Institution,1
"Bank of East Asia, Singapore branch",Other Private Sector,Non-Chinese Institution,1
Bank of Fuxin,Chinese State-owned Commercial Bank,Chinese Institution,1
Bank of Ganzhou,Chinese State-owned Commercial Bank,Chinese Institution,1
Bank of Jiujiang,Chinese State-owned Commercial Bank,Chinese Institution,1
Bank of Jordan,Other Private Sector,Non-Chinese Institution,1
Bank of Kigali,Other Private Sector,Non-Chinese Institution,1
Bank of Overseas Chinese,Other Miscellaneous Agency Type,Non-Chinese Institution,1
Bank of Punjab,Other State-owned Bank,Non-Chinese Institution,1
Bank of Weifang,Chinese State-owned Commercial Bank,Chinese Institution,1
Bank of Zhengzhou,Chinese State-owned Commercial Bank,Chinese Institution,1
Bank of the Philippines Islands Capital,Other State-owned Company,Non-Chinese Institution,1
Banque BIA,Other State-owned Commercial Bank,Non-Chinese Institution,1
Banque Internationale du Cameroun pour l'Epargne et le Crédit,Other Private Sector,Non-Chinese Institution,1
Banque Misr,Other State-owned Bank,Non-Chinese Institution,1
Banque Pour le Commerce Exterieur Lao Public,Other Private Sector,Non-Chinese Institution,1
Banque publique d'investissement,Other State-owned Bank,Non-Chinese Institution,1
Baoshang Bank,Chinese Private Sector,Chinese Institution,1
Barclay’s Bank of Ghana,Other Private Sector,Non-Chinese Institution,1
Bolloré,Other Private Sector,Non-Chinese Institution,1
Brazilian Development Bank,Other State-owned Bank,Non-Chinese Institution,1
Bridge Bank,Other Private Sector,Non-Chinese Institution,1
British Arab Commercial Bank,Other Private Sector,Non-Chinese Institution,1
CD Indosuez Wealth Management,Other Private Sector,Non-Chinese Institution,1
COSCO,Chinese State-owned Company,Chinese Institution,1
CT,Other Private Sector,Non-Chinese Institution,1
CTBC Bank Indonesia,Other Private Sector,Non-Chinese Institution,1
CTCB Indonesia,Other State-owned Bank,Non-Chinese Institution,1
Caisse de dépôt et placement du Québec,Other Private Sector,Non-Chinese Institution,1
Central Java Bank,Other State-owned Bank,Non-Chinese Institution,1
Central Trust of China,Other State-owned Bank,Non-Chinese Institution,1
Chailease Holding,Other Private Sector,Non-Chinese Institution,1
China Bohai Bank,Chinese State-owned Commercial Bank,Chinese Institution,1
China Construction Botswana,Chinese State-owned Company,Chinese Institution,1
China Gezhouba,Chinese State-owned Company,Chinese Institution,1
China Minsheng Bank Beijing Branch,Chinese Private Sector,Chinese Institution,1
China Railway,Chinese State-owned Company,Chinese Institution,1
China Road & Bridge Corporation,Chinese State-owned Company,Chinese Institution,1
China Zheshang Bank,Chinese Private Sector,Chinese Institution,1
CoBank,Other Private Sector,Non-Chinese Institution,1
Commercial Bank of Greece,Other Government Agency,Non-Chinese Institution,1
Commercial International Bank,Other Private Sector,Non-Chinese Institution,1
Corporacion Andina de Fomento – Banco de Desarrollo de América Latina,Other Intergovernmental Organization,Non-Chinese Institution,1
Cosmos Co-operative Bank,Other Private Sector,Non-Chinese Institution,1
DGB Dekabank,Other Private Sector,Non-Chinese Institution,1
DVB Bank,Other Private Sector,Non-Chinese Institution,1
Dah Sing Bank,Other Private Sector,Non-Chinese Institution,1
Danske Bank A/S,Other Private Sector,Non-Chinese Institution,1
Development Bank of Japan,Other State-owned Bank,Non-Chinese Institution,1
Development Bank of the Philippines,Other State-owned Bank,Non-Chinese Institution,1
E.Sun Financial Holdings,Other Private Sector,Non-Chinese Institution,1
ECO Trade and Development Bank,Other Intergovernmental Organization,Non-Chinese Institution,1
East African Development Bank,Other Intergovernmental Organization,Non-Chinese Institution,1
Eastern and Southern African Trade and Development Bank,Other Intergovernmental Organization,Non-Chinese Institution,1
Eden Berhad,Other Private Sector,Non-Chinese Institution,1
Eksport Kredit Fonden,Other State-owned Bank,Non-Chinese Institution,1
Eksportfinans,Other State-owned Bank,Non-Chinese Institution,1
Emerging Africa Infrastructure Fund,Other Intergovernmental Organization,Non-Chinese Institution,1
Euler Hermes,Other Private Sector,Non-Chinese Institution,1
Euler Hermes Deutschland,Other Private Sector,Non-Chinese Institution,1
Eurasian Bank of Kazakhstan,Other Private Sector,Non-Chinese Institution,1
Eurasian Development Bank,Other Intergovernmental Organization,Non-Chinese Institution,1
Europe Arab Bank,Other Private Sector,Non-Chinese Institution,1
Everest Bank,Other Private Sector,Non-Chinese Institution,1
Expobank,Other Private Sector,Non-Chinese Institution,1
Export-Import Bank of the United States,Other Government Agency,Non-Chinese Institution,1
FBN Bank,Other Private Sector,Non-Chinese Institution,1
Faysal Bank,Other Private Sector,Non-Chinese Institution,1
Fidelity bnk Ghana,Other Private Sector,Non-Chinese Institution,1
Financiera de Desarollo Nacional,Other Private Sector,Non-Chinese Institution,1
Financiera de Desarrollo Nacional,Other Private Sector,Non-Chinese Institution,1
Finnfund,Other State-owned Bank,Non-Chinese Institution,1
First International Merchant Bank,Other Private Sector,Non-Chinese Institution,1
French Development Agency,Other State-owned Bank,Non-Chinese Institution,1
Fubon Bank (Formerly International Bank of Asia (IBA)),Other Private Sector,Non-Chinese Institution,1
Futuregrowth Asset Managers,Other Private Sector,Non-Chinese Institution,1
Ghana Commercial Bank,Other Private Sector,Non-Chinese Institution,1
Grand Capital,Other Private Sector,Non-Chinese Institution,1
Green for Growth Fund,Other Miscellaneous Agency Type,Non-Chinese Institution,1
Green for Growth Fund Southeast Europe SICAV-SIF,Other Private Sector,Non-Chinese Institution,1
Guaranty Trust Bank,Other Private Sector,Non-Chinese Institution,1
Habib Metropolitan Bank,Other Private Sector,Non-Chinese Institution,1
Halyk Savings Bank of Kazakhstan JSC,Other Private Sector,Non-Chinese Institution,1
Hang Seng Bank,Other Private Sector,Non-Chinese Institution,1
Harbin Bank Financial Leasing,Chinese State-owned Commercial Bank,Chinese Institution,1
Hokkoku Bank,Other Private Sector,Non-Chinese Institution,1
Hong Leong Finance,Other Private Sector,Non-Chinese Institution,1
Huishang Bank,Chinese State-owned Commercial Bank,Chinese Institution,1
I&M Bank Rwanda,Other Private Sector,Non-Chinese Institution,1
India Export Import Bank,Other State-owned Bank,Non-Chinese Institution,1
IndoCorp,Other Private Sector,Non-Chinese Institution,1
Indonesia Infrastructure Finance,Other Private Sector,Non-Chinese Institution,1
Industrial Bank of Korea,Other State-owned Bank,Non-Chinese Institution,1
Industrial Bank of Taiwan,Other Private Sector,Non-Chinese Institution,1
International Bank of Azerbaijan,Other State-owned Bank,Non-Chinese Institution,1
International Bank of Taipei,Other Private Sector,Non-Chinese Institution,1
International Finance Bank,Other Private Sector,Non-Chinese Institution,1
Islamic Corporation for the Development of the Sector,Other Intergovernmental Organization,Non-Chinese Institution,1
Islamic Corporation for the Insurance of Investment and Export Credit,Other Intergovernmental Organization,Non-Chinese Institution,1
J&T Bank ZAO,Other Private Sector,Non-Chinese Institution,1
JSC Isibasi Bank,Other Private Sector,Non-Chinese Institution,1
JSCB Absolut Bank,Other Private Sector,Non-Chinese Institution,1
Jih Sun International Bank,Other Private Sector,Non-Chinese Institution,1
KCB,Other Private Sector,Non-Chinese Institution,1
KDB Asia,Other State-owned Bank,Non-Chinese Institution,1
KDB Bank Europe,Other Government Agency,Non-Chinese Institution,1
KEB Asia Finance,Other Private Sector,Non-Chinese Institution,1
Kanbawza Bank,Other Private Sector,Non-Chinese Institution,1
Kasikornbank Public,Other State-owned Bank,Non-Chinese Institution,1
King's Town Bank,Other Private Sector,Non-Chinese Institution,1
Kommunal Landspensjonskasse gjensidig forsikringsselskap,Other Private Sector,Non-Chinese Institution,1
Korea Export-Import Bank,Other State-owned Bank,Non-Chinese Institution,1
Korea Finance Corporation,Other State-owned Bank,Non-Chinese Institution,1
Korea Trade Insurance Corporation,Other State-owned Company,Non-Chinese Institution,1
Krungthai Bank,Other Private Sector,Non-Chinese Institution,1
Kuveyt Turk Participation Bank,Other Private Sector,Non-Chinese Institution,1
LBBW,Other Private Sector,Non-Chinese Institution,1
LH Financial,Other State-owned Company,Non-Chinese Institution,1
Landesbank Saar,Other Private Sector,Non-Chinese Institution,1
Landesbank Schleswig-Holstein Girozentrale,Other State-owned Bank,Non-Chinese Institution,1
Leading Asia’s Infrastructure Fund,Other Miscellaneous Agency Type,Non-Chinese Institution,1
Lehman Brothers,Other Private Sector,Non-Chinese Institution,1
Liberty Holdings,Other Private Sector,Non-Chinese Institution,1
Lotte F&L Singapore,Other Private Sector,Non-Chinese Institution,1
MCC-JJJ Mining Development,Chinese State-owned Company,Chinese Institution,1
MKB Bank,Other Private Sector,Non-Chinese Institution,1
Matha Capital,Other Private Sector,Non-Chinese Institution,1
Meezan Bank,Other Private Sector,Non-Chinese Institution,1
Metrobank,Other Private Sector,Non-Chinese Institution,1
Misr Bank-Europe,Other State-owned Bank,Non-Chinese Institution,1
Moscow Narodny Bank,Other Private Sector,Non-Chinese Institution,1
Musashino Bank,Other Private Sector,Non-Chinese Institution,1
NIB Bank,Other State-owned Bank,Non-Chinese Institution,1
NMB Bank Nepal,Other Private Sector,Non-Chinese Institution,1
NSIA Bank,Other Private Sector,Non-Chinese Institution,1
Nacional Financiera,Other State-owned Bank,Non-Chinese Institution,1
National Bank for Foreign Economic Activity of the Republic of Uzbekistan,Other State-owned Bank,Non-Chinese Institution,1
National Bank of Fujairah,Other Private Sector,Non-Chinese Institution,1
National Bank of Greece,Other Private Sector,Non-Chinese Institution,1
National Bank of Oman,Other State-owned Bank,Non-Chinese Institution,1
National Bank of Panama,Other State-owned Bank,Non-Chinese Institution,1
Nepal Investment Bank,Other Private Sector,Non-Chinese Institution,1
Nepal SBI Bank,Other Private Sector,Non-Chinese Institution,1
New China Trust,Chinese Private Sector,Chinese Institution,1
Nonghyup Bank,Other Private Sector,Non-Chinese Institution,1
Nordic Investment Bank,Other Intergovernmental Organization,Non-Chinese Institution,1
North-West Power Generation,Other State-owned Company,Non-Chinese Institution,1
Norwegian Export Credit Guarantee Agency,Other State-owned Bank,Non-Chinese Institution,1
OYAK ANKER Bank,Other Private Sector,Non-Chinese Institution,1
Odeabank,Other Private Sector,Non-Chinese Institution,1
Offshore Banking Branch,Other Miscellaneous Agency Type,Non-Chinese Institution,1
Old Mutual,Other Private Sector,Non-Chinese Institution,1
Orient Commercial Joint Stock Bank,Other Private Sector,Non-Chinese Institution,1
PGGM Vermogensbeheer B.V,Other Government Agency,Non-Chinese Institution,1
"PNC Bank, National Association",Other Private Sector,Non-Chinese Institution,1
People's Bank of China,Chinese Government Agency,Chinese Institution,1
Persia International Bank,Other Private Sector,Non-Chinese Institution,1
Peru Banco de Credito,Other Private Sector,Non-Chinese Institution,1
PetroVietnam Joinstock Finance Corporation,Other State-owned Company,Non-Chinese Institution,1
Philippine National Bank,Other Private Sector,Non-Chinese Institution,1
Piraeus Bank,Other Private Sector,Non-Chinese Institution,1
Power China Finance,Chinese State-owned Company,Chinese Institution,1
PowerChina,Chinese State-owned Company,Chinese Institution,1
Prabhu Bank,Other Private Sector,Non-Chinese Institution,1
Promsvyazbank,Other State-owned Bank,Non-Chinese Institution,1
Prudential Capital,Other Private Sector,Non-Chinese Institution,1
Public Bank Berhad,Other Private Sector,Non-Chinese Institution,1
Reserve Bank of India,Other State-owned Bank,Non-Chinese Institution,1
Roseximbank,Other State-owned Bank,Non-Chinese Institution,1
Rupali Bank,Other State-owned Bank,Non-Chinese Institution,1
SG Corporate & Investment Banking,Other Private Sector,Non-Chinese Institution,1
SGBTCI,Other Private Sector,Non-Chinese Institution,1
Safra Bank,Other Private Sector,Non-Chinese Institution,1
Sarana Infrastruktur Indonesia,Other Government Agency,Non-Chinese Institution,1
Shanghai Rural Commercial Bank,Chinese State-owned Commercial Bank,Chinese Institution,1
Shinkin Central Bank,Other Private Sector,Non-Chinese Institution,1
Sindh Bank,Other State-owned Bank,Non-Chinese Institution,1
Sinopac Capital International,Chinese Private Sector,Chinese Institution,1
Société Commerciale de Banque Cameroun,Other Private Sector,Non-Chinese Institution,1
Svenska Handelsbanken,Other Private Sector,Non-Chinese Institution,1
Swedbank,Other Private Sector,Non-Chinese Institution,1
TISCO Bank Public,Other Private Sector,Non-Chinese Institution,1
TMB Bank,Other Private Sector,Non-Chinese Institution,1
TMBThanachart Bank (TMB Bank),Other Private Sector,Non-Chinese Institution,1
Ta Chong Bank,Other Private Sector,Non-Chinese Institution,1
Tender Fund,Other Private Sector,Non-Chinese Institution,1
The Arab Investment,Other Intergovernmental Organization,Non-Chinese Institution,1
The Bank of Yokohama,Other Private Sector,Non-Chinese Institution,1
The Commercial Bank of Qatar,Other Private Sector,Non-Chinese Institution,1
The Hachijuni Bank,Other Private Sector,Non-Chinese Institution,1
The Iyo Bank,Other Private Sector,Non-Chinese Institution,1
The Joyo Bank,Other Private Sector,Non-Chinese Institution,1
The Nanto Bank,Other Private Sector,Non-Chinese Institution,1
The National Bank of Ras Al Khaimah,Other State-owned Bank,Non-Chinese Institution,1
The Shizuoka Bank,Other Private Sector,Non-Chinese Institution,1
Tianjin The First Commercial School,Other Miscellaneous Agency Type,Non-Chinese Institution,1
Towerbank International,Other Private Sector,Non-Chinese Institution,1
Trafigura Beheer BV,Other Private Sector,Non-Chinese Institution,1
Transcapitalbank,Other State-owned Bank,Non-Chinese Institution,1
Triodos Groenfonds,Other Private Sector,Non-Chinese Institution,1
Turkiye Kalkinma ve Yatirim Bankasi,Other State-owned Bank,Non-Chinese Institution,1
UK Export Finance,Other Government Agency,Non-Chinese Institution,1
Union Bank UK,Other Private Sector,Non-Chinese Institution,1
Union Bank of California,Other Private Sector,Non-Chinese Institution,1
United Arab Bank,Other Private Sector,Non-Chinese Institution,1
United Bank for Africa,Other State-owned Bank,Non-Chinese Institution,1
United Coconut Planters Bank,Other Private Sector,Non-Chinese Institution,1
United Kingdom Export Finance,Other Government Agency,Non-Chinese Institution,1
Uralsib,Other Private Sector,Non-Chinese Institution,1
Uzbekneftegaz,Other State-owned Company,Non-Chinese Institution,1
Vietnam Bank for Agriculture and Rural Development,Other State-owned Bank,Non-Chinese Institution,1
Vietnam Bank for Industry and Trade,Other State-owned Bank,Non-Chinese Institution,1
Votorantim,Other Private Sector,Non-Chinese Institution,1
Všeobecná úverová banka,Other Private Sector,Non-Chinese Institution,1
Westdeutsche Landesbank Girozentrale,Other Private Sector,Non-Chinese Institution,1
Westrust Bank,Other Private Sector,Non-Chinese Institution,1
Wholesale Bank Bahrain,Other Private Sector,Non-Chinese Institution,1
ZTE Corporation,Chinese State-owned Company,Chinese Institution,1
Zenith Bank,Other Private Sector,Non-Chinese Institution,1
Zhejiang Huayou Cobalt,Chinese Private Sector,Chinese Institution,1
