transaction_id,transaction_primary_class
"Cameroon Ministry of Economy, Planning, and Regional Development (MINEPAT)-Cameroon-2013-10-20",NEUTRAL
JSC Lebedinsky GOK|JSC OEMK-Russia-2015-07-15,NEUTRAL
Alcatel Shanghai Bell Company Limited-Nigeria-2002-07-05,NEUTRAL
Trade and Development Bank of Mongolia-Mongolia-2014-08-21,NEUTRAL
Government of the Philippines-Philippines-2007-01-15,NEUTRAL
Cambodian Ministry of Economy and Finance-Cambodia-2018-01-11,GREY
Shandong Gold Group Corporation-Argentina-2017-01-01,BROWN
Uzbekistan Airways JSC-Uzbekistan-2011-05-11,NEUTRAL
Government of Zambia-Zambia-2016-12-26,NEUTRAL
Papua New Guinea State Treasury-Papua New Guinea-2014-11-01,NEUTRAL
Xiamen University Malaysia Campus-Malaysia-2013-10-04,NEUTRAL
Government of Laos-Laos-2016-08-01,GREY
China National Machinery and Equipment Import & Export Corporation-Pakistan-2003-03-01,NEUTRAL
Bangladesh Power Development Board (BPDB)-Bangladesh-2000-04-25,GREY
Government of Barbados-Barbados-2015-11-25,NEUTRAL
JSC JSSB Belarusbank-Belarus-2015-05-10,NEUTRAL
Government of Zimbabwe-Zimbabwe-2012-04-05,NEUTRAL
MTN Group Limited-South Africa-2018-09-28,NEUTRAL
Government of Zambia-Zambia-2015-12-01,NEUTRAL
Central Power Generation Company Limited (CPGCL)-Pakistan-2011-12-23,GREY
Government of Ghana-Ghana-2012-02-09,GREY
Cambodia Fibre Optic Communication Network Company (CFOCN)-Cambodia-2014-01-01,NEUTRAL
Sea Ports Corporation (SPC)-Sudan-2006-06-08,NEUTRAL
Jio-BP (Reliance Petroleum)-India-2006-10-13,BROWN
Petrovietnam Ca Mau Fertilizer Company Limited (PVCFC)-Vietnam-2011-09-15,NEUTRAL
Government of Mongolia-Mongolia-2015-11-10,NEUTRAL
PT Trans Retail Indonesia-Indonesia-2017-01-01,NEUTRAL
Government of Angola-Angola-2016-06-07,NEUTRAL
Mpande Limestone Ltd.-Zambia-2016-11-07,NEUTRAL
Congo-Chine Telecoms (CCT)-Congo - Kinshasa-2007-06-29,NEUTRAL
Government of Guinea-Guinea-2001-08-28,NEUTRAL
Ghana Cocoa Board (COCOBOD)-Ghana-2014-09-11,NEUTRAL
Government of Angola-Angola-2005-05-01,NEUTRAL
San Miguel Corporation-Philippines-2007-09-01,NEUTRAL
Arctic Indigo LNG Shipping Limited-Russia-2019-07-25,GREY
Government of North Korea-North Korea-2016-01-01,BROWN
IC SUEK LTD LLC-Russia-2019-06-01,BROWN
Arctic Orange LNG Shipping Limited-Russia-2019-07-25,GREY
Government of Mali-Mali-2018-09-28,NEUTRAL
Sudan National Electricity Corporation (NEC Sudan)-Sudan-2004-03-01,BROWN
Government of Indonesia-Indonesia-2009-05-04,BROWN
China Geo-Engineering Corporation International Ltd. (CGCINT)-Kenya-2018-09-04,NEUTRAL
Arctic Yellow LNG Shipping Limited-Russia-2019-07-25,GREY
Angola Ministry of Agriculture-Angola-2005-03-01,NEUTRAL
Duqm Refinery and Petrochemical Industries Company LLC (DRPIC)-Oman-2018-09-01,BROWN
Arctic Red LNG Shipping Limited-Russia-2019-07-25,GREY
Government of Gabon-Gabon-2009-01-01,NEUTRAL
Transnet-South Africa-2017-03-31,NEUTRAL
Government of Zambia-Zambia-2015-01-01,NEUTRAL
Naspers Ltd.-South Africa-2018-07-24,NEUTRAL
Kirana Megatara-Indonesia-2011-08-12,NEUTRAL
Peru Banco de Credito-Peru-2011-11-28,NEUTRAL
Dhaka Bypass Expressway Development Company Limited (DBED)-Bangladesh-2021-04-23,NEUTRAL
Government of Cuba-Cuba-2017-06-23,GREEN
Housing Development Corporation Ltd. (HDC)-Maldives-2017-07-17,NEUTRAL
Government of Sudan-Sudan-2008-12-24,GREY
Government of the Maldives-Maldives-2012-09-02,NEUTRAL
South African Reserve Bank (SARB)-South Africa-2002-07-09,NEUTRAL
Nam Lik 1-2 Power Company Limited-Laos-2008-11-24,GREEN
JSC Holding Company Metalloinvest|JSC Lebedinsky GOK|JSC OEMK-Russia-2011-04-06,NEUTRAL
PT Indo Raya Tenaga-Indonesia-2020-07-17,BROWN
Government of Gabon-Gabon-2009-12-14,NEUTRAL
National Water Supply & Drainage Board of Sri Lanka-Sri Lanka-2017-08-21,NEUTRAL
Government of Sri Lanka-Sri Lanka-2001-01-17,BROWN
Government of Myanmar (Burma)-Myanmar-2012-06-01,NEUTRAL
"West African Development Bank (WADB/BOAD)-Africa, regional-2006-11-23",NEUTRAL
Government of Laos-Laos-2009-08-11,GREY
Government of Sudan-Sudan-2009-07-29,NEUTRAL
PT Dexin Steel Indonesia-Indonesia-2021-12-24,BROWN
Australis Mar S.A.-Chile-2019-08-06,NEUTRAL
Government of Mozambique-Mozambique-2017-02-27,NEUTRAL
Government of Senegal-Senegal-2006-01-01,NEUTRAL
Innovate Mas Indonesia-Indonesia-2015-04-30,NEUTRAL
PT China Sonangol Media Investment (PT Surya Indonesia Satu Properti)-Indonesia-2015-07-31,NEUTRAL
Uztelecom JSC-Uzbekistan-2014-01-01,NEUTRAL
Government of the City of Buenos Aires-Argentina-2014-08-15,NEUTRAL
Government of Ghana-Ghana-2020-05-13,NEUTRAL
Cambodian Ministry of Economy and Finance-Cambodia-2015-12-14,GREY
Cambodian Ministry of Economy and Finance-Cambodia-2015-10-15,NEUTRAL
National Bank of the Republic of Belarus (NBRB)-Belarus-2015-09-01,NEUTRAL
China National Machinery Import & Export Corporation (CMC)-Bangladesh-2001-05-07,NEUTRAL
Government of Madagascar-Madagascar-2019-06-14,NEUTRAL
Government of Bangladesh-Bangladesh-2017-07-27,NEUTRAL
PT Pertamina EP Cepu-Indonesia-2019-08-05,BROWN
Central Bank of Suriname (CBVS)-Suriname-2016-01-01,NEUTRAL
Kichi-Chaarat Closed Joint Stock Company-Kyrgyzstan-2017-07-24,GREY
Government of Pakistan-Pakistan-2017-05-16,NEUTRAL
Eskom Holdings SOC Ltd-South Africa-2016-07-06,BROWN
Government of Cuba-Cuba-2016-02-05,GREEN
Government of Cuba-Cuba-2016-02-22,NEUTRAL
PT DSSP Power Kendari-Indonesia-2016-06-03,BROWN
PT MNC Cable Mediacom (MKM)-Indonesia-2017-11-17,NEUTRAL
Central Bank of the Republic of Turkey (TCMB)-Turkey-2016-11-30,NEUTRAL
State Grid Brazil Holding S.A.-Brazil-2014-12-23,GREY
An Khanh Thermal Power Joint Stock Company-Vietnam-2011-12-22,BROWN
Moz LNG1 Financing Company Ltd-Mozambique-2020-07-15,BROWN
"Cameroon Ministry of Economy, Planning, and Regional Development (MINEPAT)-Cameroon-2013-10-29",NEUTRAL
Government of Equatorial Guinea-Equatorial Guinea-2008-01-01,NEUTRAL
Bulgaria Energy Holdings-Bulgaria-2016-04-21,BROWN
Kalyon Güneş Enerjisi Üretim AŞ-Turkey-2021-11-01,GREEN
China Chengda Engineering Co. Ltd-Myanmar-2001-12-12,BROWN
OJSC “Saleo-Gomel”-Belarus-2017-05-15,NEUTRAL
Asaka Bank|Birinchi Rezinotexnika Zavodi LLC-Uzbekistan-2014-01-01,NEUTRAL
Bancó de Inversión y Comercio Exterior (BICE) S. A.-Argentina-2017-05-17,NEUTRAL
JSC Acron (Russia)-Russia-2017-05-03,NEUTRAL
Khor Ambado Free Zone Company (FZCO)-Djibouti-2017-11-10,NEUTRAL
Donbas Fuel and Energy Company (DTEK)-Ukraine-2018-04-01,GREEN
Government of Zimbabwe-Zimbabwe-2018-04-08,NEUTRAL
Government of Togo-Togo-2009-09-07,NEUTRAL
Ministry of Railways of Pakistan-Pakistan-2009-12-14,NEUTRAL
Canadia Bank-Cambodia-2017-01-01,NEUTRAL
Conch North Sulawesi Cement-Indonesia-2017-02-24,BROWN
Government of Nepal-Nepal-2017-08-16,NEUTRAL
Russian Agricultural Bank (RusAg)-Russia-2017-07-04,NEUTRAL
Naftna Industrija Srbije (NIS)-Serbia-2003-11-07,NEUTRAL
Government of Sri Lanka-Sri Lanka-2017-12-22,GREEN
Democratic Republic of the Congo Ministry of Economy and Finance-Congo - Kinshasa-2020-01-01,NEUTRAL
Government of Ghana-Ghana-2013-04-01,NEUTRAL
Government of South Sudan-South Sudan-2013-04-14,NEUTRAL
Government of Guyana-Guyana-2012-11-02,NEUTRAL
Government of Sudan-Sudan-2007-02-02,NEUTRAL
"Advance Tire (Vietnam) Co., Ltd.-Vietnam-2019-03-06",NEUTRAL
Autopistas Urabá S.A-Colombia-2019-07-24,NEUTRAL
Indonesia Eximbank |PT Lembaga Pembiayaan Ekspor Indonesia (LPEI)-Indonesia-2015-09-22,NEUTRAL
National Bank for Foreign Economic Activity of the Republic of Uzbekistan (NBU)-Uzbekistan-2015-01-31,NEUTRAL
Government of Costa Rica-Costa Rica-2009-01-01,NEUTRAL
Government of Bangladesh-Bangladesh-2016-04-15,NEUTRAL
Bank Muscat-Oman-2020-06-10,NEUTRAL
PT Well Harvest Winning Alumina Refinery-Indonesia-2019-11-28,BROWN
Government of Sudan-Sudan-2001-08-15,NEUTRAL
"Cameroon Ministry of Economy, Planning, and Regional Development (MINEPAT)-Cameroon-2016-08-22",NEUTRAL
Standard Bank of South Africa Limited (Standard Bank)-South Africa-2019-10-23,NEUTRAL
Bin Qasim 3 CCGT-Pakistan-2021-09-01,BROWN
Telecom Serbia-Serbia-2017-05-12,NEUTRAL
Government of Chad-Chad-2007-07-01,BROWN
Government of Mozambique-Mozambique-2014-12-15,NEUTRAL
Islamic Republic of Iran Shipping Lines (IRISL)-Iran-2003-06-22,NEUTRAL
Société Envol Partenariats SA-Senegal-2019-06-27,NEUTRAL
Mongolia Ministry of Finance-Mongolia-2018-03-01,NEUTRAL
Central Bank of Nigeria (CBN)-Nigeria-2020-01-01,NEUTRAL
China International Water and Electrical Corporation (CWE)-Ghana-2006-11-12,GREY
China National Machinery and Equipment Import & Export Corporation|Sudan National Electricity Corporation (NEC Sudan)-Sudan-2006-05-11,GREY
ACWA Power Ouarzazate II S.A.-Morocco-2018-01-01,GREEN
"Cameroon Ministry of Water, Resources, and Energy-Cameroon-2017-02-28",GREEN
Government of Pakistan-Pakistan-2015-04-20,NEUTRAL
Government of Côte d'Ivoire (Ivory Coast)-Côte d’Ivoire-2014-11-04,NEUTRAL
"Hareon Solar Technology Co., Ltd.-Bulgaria-2011-01-01",GREEN
Philippines Metropolitan Waterworks and Sewerage System (MWSS)-Philippines-2010-01-07,NEUTRAL
Government of Angola-Angola-2018-09-04,NEUTRAL
Central Bank of Suriname (CBVS)-Suriname-2020-01-01,NEUTRAL
Government of Gabon-Gabon-2011-02-12,GREY
PJSC Uralkali-Russia-2020-05-20,NEUTRAL
Government of Angola-Angola-2011-01-01,NEUTRAL
Government of Sudan-Sudan-2005-01-01,BROWN
Central Bank of Suriname (CBVS)-Suriname-2019-02-11,NEUTRAL
Building Materials Corporation No.1 (FICO)-Vietnam-2006-07-24,BROWN
The Central Bank of the Russian Federation-Russia-2016-01-01,NEUTRAL
Saderat Bank-Iran-2002-09-07,GREEN
Myanmar Ministry of Electricity and Energy-Myanmar-2012-04-01,GREY
Government of Chad-Chad-2011-01-01,NEUTRAL
Mobile Telesystems (MTS)-Russia-2009-12-08,NEUTRAL
Government of Sri Lanka-Sri Lanka-2011-02-17,NEUTRAL
Joint-Stock Commercial Bank 'Uzbek Industrial and Construction Bank' (JSCB Uzpromstroybank) (UzPSB)-Uzbekistan-2010-06-09,BROWN
Argentina Ministry of Economy-Argentina-2010-01-22,NEUTRAL
Econet Wireless Zimbabwe-Zimbabwe-2012-05-11,NEUTRAL
Government of Cambodia-Cambodia-2002-11-02,NEUTRAL
Government of Kenya-Kenya-2014-05-10,NEUTRAL
Envol Partnerships Côte d'Ivoire Branch-Côte d’Ivoire-2018-01-01,NEUTRAL
Government of Mongolia-Mongolia-2010-06-01,NEUTRAL
Government of Sri Lanka-Sri Lanka-2013-04-24,NEUTRAL
Government of Serbia-Serbia-2021-11-26,NEUTRAL
JV Zeravshan LLC-Tajikistan-2013-05-19,BROWN
Government of Bangladesh-Bangladesh-2013-05-13,NEUTRAL
Türkiye Vakiflar Bankasi (VakıfBank)-Turkey-2019-09-20,NEUTRAL
Central Bank of Suriname (CBVS)-Suriname-2018-01-01,NEUTRAL
Government of Ghana-Ghana-2011-02-16,NEUTRAL
Government of Cambodia-Cambodia-2020-10-12,NEUTRAL
Government of Gabon-Gabon-2011-08-01,GREY
Bank of Ceylon (BOC)-Sri Lanka-2020-06-30,NEUTRAL
Government of Papua New Guinea-Papua New Guinea-2017-05-10,NEUTRAL
Trans-Adriatic Pipeline (TAP) AG-Azerbaijan-2018-12-07,BROWN
Transnet-South Africa-2019-01-01,NEUTRAL
Government of Mauritania-Mauritania-2013-01-04,GREEN
Government of Senegal-Senegal-2013-01-04,GREEN
Government of Bangladesh-Bangladesh-2008-09-16,NEUTRAL
Telecom Argentina SA-Argentina-2018-02-02,NEUTRAL
Government of Kenya-Kenya-2017-02-14,NEUTRAL
"Astronergy Co., Ltd.-Bulgaria-2012-01-01",GREEN
Transnet-South Africa-2016-02-10,NEUTRAL
Central Bank of Suriname (CBVS)-Suriname-2021-01-01,NEUTRAL
China National Nuclear Corporation (CNNC)-Namibia-2014-07-15,GREY
Argentina Ministry of Economy-Argentina-2007-01-01,NEUTRAL
Government of Kenya-Kenya-2015-08-31,GREEN
Otoyol Yatırım ve İşletme A.Ş.-Turkey-2015-01-01,NEUTRAL
Government of Kenya-Kenya-2017-07-14,GREY
Government of Zambia-Zambia-2014-09-07,GREEN
Ukraine Ministry of Health-Ukraine-2019-01-16,NEUTRAL
Ghana Cocoa Board (COCOBOD)-Ghana-2019-09-13,NEUTRAL
"China-Africa Cotton Development Ltd.-Africa, regional-2011-01-01",NEUTRAL
Mahatat Al Zarqa Le Tawleed Al Takah Al Kahrabaieyah-Jordan-2016-12-15,GREY
Compagnie Miniere de l'Ogooue (COMILOG)-Gabon-2010-09-10,GREY
"Laos-China Dongyan Petrochemical Co., Ltd.-Laos-2014-09-01",BROWN
PJSC UkrGasVydobuvannya-Ukraine-2018-06-22,BROWN
Vietnam Public Joint Stock Commercial Bank (PVCombank)-Vietnam-2018-01-01,NEUTRAL
Banco de Chile-Chile-2008-08-14,NEUTRAL
Development Bank of Kazakhstan JSC (DBK)-Kazakhstan-2008-02-20,NEUTRAL
Development Bank of Kazakhstan JSC (DBK)-Kazakhstan-2008-12-22,NEUTRAL
Government of the Kyrgyz Republic-Kyrgyzstan-2012-12-04,NEUTRAL
Government of Zambia-Zambia-2015-12-21,NEUTRAL
"China National Electric Engineering Co., Ltd. (CNEEC)-Iran-2005-01-01",NEUTRAL
Government of Bangladesh-Bangladesh-2001-06-17,GREY
Government of Togo-Togo-2014-02-14,Mixed (No Clear Dominant)
Government of Zambia-Zambia-2016-05-01,NEUTRAL
"African Export-Import Bank (Afreximbank)-Africa, regional-2009-05-13",NEUTRAL
Development Bank of Kazakhstan JSC (DBK)-Kazakhstan-2009-04-15,NEUTRAL
PT Telkom Indonesia (Persero) Tbk-Indonesia-2009-08-20,NEUTRAL
Government of Cambodia-Cambodia-2002-11-04,NEUTRAL
Government of Indonesia-Indonesia-2005-11-05,NEUTRAL
"Lao Kaiyuan Mining Co., Ltd-Laos-2011-12-29",BROWN
Bénin Télécoms S.A.-Benin-2005-10-20,NEUTRAL
Gezhouba Shieli Cement Company LLC (葛洲壩西里水泥有限公司)-Kazakhstan-2017-01-01,BROWN
Government of Pakistan-Pakistan-2003-01-01,NEUTRAL
Government of Tajikistan-Tajikistan-2018-01-01,NEUTRAL
Government of Zambia-Zambia-2009-01-01,NEUTRAL
Government of Mozambique-Mozambique-2020-10-01,NEUTRAL
"China Harbour Engineering Co., Ltd.-Iran-2014-03-09",NEUTRAL
Government of Cambodia-Cambodia-2016-10-13,NEUTRAL
ICICI Bank Limited-India-2009-03-19,NEUTRAL
Cell C Limited South Africa-South Africa-2015-12-18,NEUTRAL
Government of Kenya-Kenya-2013-11-01,GREY
Sun Siyam Pvt. Ltd.-Maldives-2017-12-14,NEUTRAL
The Central Bank of the Russian Federation-Russia-2018-01-01,NEUTRAL
Government of Benin-Benin-2013-08-23,NEUTRAL
Nakhonluang Water Supply Enterprise-Laos-2016-01-01,NEUTRAL
PT Lembaga Pembiayaan Ekspor Indonesia (LPEI)-Indonesia-2019-05-15,NEUTRAL
Sinotrans Limited-Romania-2020-12-16,NEUTRAL
B-R Powergen-Bangladesh-2013-07-02,BROWN
"Myanmar Fiber Optic Communication Network Co., Ltd. (MFOCN)-Myanmar-2015-12-15",NEUTRAL
Enel Green Power Nova Olinda B Solar S.A.-Brazil-2017-05-01,GREEN
Government of Pakistan-Pakistan-2002-12-26,NEUTRAL
Papua New Guinea State Treasury-Papua New Guinea-2018-01-01,GREY
Best Green Energy Pakistan Limited (BGEPL)-Pakistan-2015-12-21,GREEN
Acleda Bank-Cambodia-2020-07-11,NEUTRAL
Government of Sri Lanka-Sri Lanka-2011-04-29,NEUTRAL
Myanmar Central Bank-Myanmar-2007-09-27,BROWN
Government of Kenya-Kenya-2007-08-01,GREY
Government of Cambodia-Cambodia-2010-12-13,NEUTRAL
Government of El Salvador-El Salvador-2019-12-03,NEUTRAL
Government of Tanzania-Tanzania-2010-01-01,NEUTRAL
Government of Eritrea-Eritrea-2007-11-01,GREY
Ocean View Owners Limited|Oceancentury Owners Limited|Oceansurf Owners Limited-Marshall Islands-2012-02-14,NEUTRAL
Government of Angola-Angola-2011-05-08,NEUTRAL
"Closed Joint-Stock Company (CJSC) TK Mobile, Joint Venture-Tajikistan-2006-01-01",NEUTRAL
Government of Côte d'Ivoire (Ivory Coast)-Côte d’Ivoire-2020-04-24,NEUTRAL
Cambodian Ministry of Economy and Finance-Cambodia-2014-06-09,NEUTRAL
Government of Democratic Republic of Congo-Congo - Kinshasa-2011-01-01,BROWN
CIMB Bank Berhad-Malaysia-2017-06-01,NEUTRAL
Not Available-Mexico-2021-10-29,NEUTRAL
Central Bank of Suriname (CBVS)-Suriname-2015-04-30,NEUTRAL
Kibing Group (M) Sdn Bhd-Malaysia-2015-01-01,NEUTRAL
LLC Universal Mobile Systems-Uzbekistan-2020-01-01,NEUTRAL
Fiji Ministry of Economy-Fiji-2010-12-28,NEUTRAL
Bank TuranAlem JSC (BTA)-Kyrgyzstan-2006-06-01,NEUTRAL
Government of Indonesia-Indonesia-2018-05-07,NEUTRAL
Government of Cameroon-Cameroon-2017-09-01,GREEN
Ministry of Defense of Myanmar-Myanmar-2010-06-01,BROWN
VinFast Trading and Production-Vietnam-2018-07-01,Mixed (No Clear Dominant)
Thar Energy Limited (TEL)-Pakistan-2018-12-20,BROWN
Apollo Solar Development Pakistan Limited (ASDPL)-Pakistan-2015-10-16,GREEN
Government of Eritrea-Eritrea-2014-01-01,BROWN
Government of Zambia-Zambia-2018-06-27,NEUTRAL
Government of Côte d'Ivoire (Ivory Coast)-Côte d’Ivoire-2011-10-03,NEUTRAL
PT MNC Cable Mediacom (MKM)-Indonesia-2014-07-10,NEUTRAL
Government of Cambodia-Cambodia-2020-12-01,NEUTRAL
Government of Côte d'Ivoire (Ivory Coast)-Côte d’Ivoire-2020-04-30,NEUTRAL
Kazancı Holding-Turkey-2013-02-16,GREEN
Government of Rwanda-Rwanda-2018-07-23,NEUTRAL
Government of Tanzania-Tanzania-2001-07-17,NEUTRAL
Minera Chinalco Perú S.A.-Peru-2015-08-01,GREY
Vale of Brazil-Brazil-2015-12-01,NEUTRAL
"SIPG Bayport Terminal Co., Ltd.-Israel-2020-07-01",NEUTRAL
Pacific Hydro-Chile-2021-01-27,NEUTRAL
"Zhongtai (Dangara) New Silk Road Textile Industry Co., Ltd.-Tajikistan-2016-06-01",NEUTRAL
Papua New Guinea State Treasury-Papua New Guinea-2010-09-29,NEUTRAL
Thai Pipeline Network Company Limited (TPN)-Thailand-2020-09-21,BROWN
Government of Sudan-Sudan-2004-03-04,NEUTRAL
Bank for Investment and Development of Vietnam (BIDV)-Vietnam-2010-01-01,NEUTRAL
Equinox Minerals Ltd.-Zambia-2010-03-09,GREY
Perilya Limited-Dominican Republic-2010-01-01,GREY
Robi Axiata Ltd.-Bangladesh-2010-06-14,NEUTRAL
Government of Ghana-Ghana-2013-10-28,NEUTRAL
Government of Malawi-Malawi-2009-09-08,NEUTRAL
Government of Ethiopia-Ethiopia-2010-11-23,GREEN
San Miguel Corporation-Philippines-2017-01-01,NEUTRAL
ShalkiyaZink Ltd. JSC-Kazakhstan-2017-12-29,GREY
"Yunnan Machinery and Equipment Import and Export Co., Ltd. (YMIEC)-Myanmar-2006-02-14",GREEN
Government of Côte d'Ivoire (Ivory Coast)-Côte d’Ivoire-2017-11-14,NEUTRAL
Government of Burkina Faso-Burkina Faso-2018-05-26,NEUTRAL
Government of Cote d'Ivoire-Côte d’Ivoire-2018-12-13,NEUTRAL
ZTE Corporation-Central African Republic-2005-04-22,NEUTRAL
EuroChem-Russia-2018-06-29,NEUTRAL
Government of Myanmar (Burma)-Myanmar-2003-01-14,NEUTRAL
Cambodian Ministry of Economy and Finance-Cambodia-2009-12-21,Mixed (No Clear Dominant)
Government of Ethiopia-Ethiopia-2009-03-31,BROWN
Vale of Brazil-Brazil-2011-04-01,NEUTRAL
Central Bank of Suriname (CBVS)-Suriname-2017-05-11,NEUTRAL
Government of Kenya-Kenya-2011-06-17,NEUTRAL
Sinohydro-Sagarmatha Power Company (P) Ltd-Nepal-2012-12-10,GREEN
Enel Brasil S.A.-Brazil-2018-08-08,NEUTRAL
Metrogas S.A.-Argentina-2018-02-08,NEUTRAL
Uzpromstoybank-Uzbekistan-2011-09-22,NEUTRAL
Government of Pakistan-Pakistan-2002-01-01,NEUTRAL
Government of Uganda-Uganda-2001-01-01,NEUTRAL
Papua New Guinea Liquefied Natural Gas Global Company LDC-Papua New Guinea-2013-10-04,BROWN
"China-Africa TEDA Investment Holdings. Co., Ltd.-Egypt-2009-01-01",NEUTRAL
Mero 2 Owning B.V.-Brazil-2021-09-16,BROWN
Ghana Cocoa Board (COCOBOD)-Ghana-2018-09-20,NEUTRAL
Ameris Capital AGF-Chile-2019-08-07,GREY
Energiya-Semirechya LLP-Kazakhstan-2019-01-01,GREEN
Minera Chinalco Perú S.A.-Peru-2017-10-25,GREY
North-West Power Generation Company Limited (NWPGCL)-Bangladesh-2015-08-01,GREY
Government of Rwanda-Rwanda-2012-07-20,NEUTRAL
Philippines National Irrigation Administration-Philippines-2009-11-09,NEUTRAL
Government of Ghana-Ghana-2002-06-17,NEUTRAL
Government of Mali-Mali-2001-12-04,NEUTRAL
Baku-Tbilisi-Ceyhan Pipeline Company (BTC)-Azerbaijan-2021-10-20,BROWN
Government of Nepal-Nepal-2021-01-01,NEUTRAL
"China Nonferrous Metal Mining (Group) Co., Ltd. (CNMC)-Tajikistan-2014-06-19",BROWN
Government of Angola-Angola-2014-01-01,NEUTRAL
Government of Cuba-Cuba-2014-07-22,NEUTRAL
Government of Mozambique-Mozambique-2014-09-10,NEUTRAL
PT Profesional Telekomunikasi Indonesia (Protelindo)-Indonesia-2010-08-13,NEUTRAL
Government of Cambodia-Cambodia-2014-12-03,NEUTRAL
Government of Zimbabwe-Zimbabwe-2017-12-06,NEUTRAL
Government of Mauritania-Mauritania-2010-12-29,NEUTRAL
Government of Indonesia-Indonesia-2013-09-03,GREEN
Green Vision Seven-Romania-2013-01-01,GREEN
Government of Ethiopia-Ethiopia-2008-10-17,GREY
Zambia Electricity Supply Corp. (ZESCO)-Zambia-2017-12-15,GREY
State Bank of India (Hong Kong)-India-2016-06-20,NEUTRAL
Government of Zambia-Zambia-2010-07-01,NEUTRAL
"African Union Commission-Africa, regional-2019-06-14",NEUTRAL
Minera Chinalco Perú S.A.-Peru-2014-05-01,GREY
Government of Mongolia-Mongolia-2017-05-15,GREY
Hongshi-Shivam Cement Pvt. Ltd. (红狮希望水泥私人有限公司)-Nepal-2018-09-01,BROWN
Sibanthracite Group-Russia-2019-09-26,BROWN
Yapı Kredi-Turkey-2021-07-01,NEUTRAL
Government of Benin-Benin-2019-01-01,NEUTRAL
Government of the Maldives-Maldives-2016-01-01,NEUTRAL
Government of Uganda|Uganda Ministry of Finance-Uganda-2011-01-01,NEUTRAL
Nigeria LNG Limited-Nigeria-2020-05-13,GREY
The National Bank for Foreign Economic Affairs of the Republic of Uzbekistan-Uzbekistan-2010-01-01,NEUTRAL
Cuban Institute of Radio and Television-Cuba-2019-09-25,NEUTRAL
Van Phong Power Company Limited (VAN PHONG)-Vietnam-2019-04-19,BROWN
Pampa Energía-Argentina-2016-07-26,BROWN
Government of Sudan-Sudan-2011-03-28,GREEN
Government of Papua New Guinea-Papua New Guinea-2014-03-21,NEUTRAL
Government of North Korea-North Korea-2020-07-01,NEUTRAL
National Bank for Foreign Economic Activity of the Republic of Uzbekistan (NBU)-Uzbekistan-2021-08-01,NEUTRAL
Government of Angola-Angola-2002-01-01,NEUTRAL
Uganda Ministry of Finance-Uganda-2011-10-20,NEUTRAL
Megah Prima Sejahtera PT (Indotrack)-Indonesia-2017-01-01,BROWN
Government of Sudan-Sudan-2002-01-01,GREY
Crest Energy Pakistan Limited (CEPL)-Pakistan-2015-12-21,GREEN
Kyauk Phyu Electric Power Company Limited (KPEPC)-Myanmar-2021-03-01,GREY
China International Water and Electrical Corporation (CWE)-Laos-2002-01-01,GREEN
Government of Yemen-Yemen-2002-11-06,NEUTRAL
Belarusbank-Belarus-2019-04-24,NEUTRAL
Turkey Wealth Fund-Turkey-2019-03-13,NEUTRAL
Uzpromstoybank-Uzbekistan-2012-01-01,BROWN
Government of Sudan-Sudan-2010-01-01,NEUTRAL
China International Water and Electrical Corporation (CWE)-Ghana-2010-10-22,GREY
Government of Cambodia-Cambodia-2020-02-17,GREY
VimpelCom (PJSC VimpelCom)-Russia-2015-12-24,NEUTRAL
"African Export-Import Bank (Afreximbank)-Africa, regional-2017-05-30",NEUTRAL
Government of Antioquia (Colombia)-Colombia-2017-12-29,GREEN
Türkiye Ziraat Bankası A.Ş. (Ziraat Bank)-Turkey-2019-03-29,NEUTRAL
Government of the Kyrgyz Republic-Kyrgyzstan-2015-06-15,NEUTRAL
IHS Nigeria Limited-Nigeria-2014-12-01,NEUTRAL
Government of Yemen-Yemen-2017-01-01,NEUTRAL
"Bright Food (Group) Co., Ltd.-Israel-2015-03-18",NEUTRAL
"West African Development Bank (WADB/BOAD)-Africa, regional-2015-11-04",NEUTRAL
Government of Ghana-Ghana-2018-04-19,NEUTRAL
Oman Broadband Company (OBC)-Oman-2018-10-29,NEUTRAL
CJSC “Industrial Park Development Company”-Belarus-2013-01-17,NEUTRAL
Government of Tajikistan-Tajikistan-2021-10-18,NEUTRAL
Société du Patrimoine des Mines du Niger (SOPAMIN)-Niger-2011-04-01,GREY
Government of Sudan-Sudan-2006-03-31,NEUTRAL
Televisi Transformasi Indonesia|Trans Media Corpora-Indonesia-2011-06-24,NEUTRAL
Government of Eritrea-Eritrea-2011-01-01,GREEN
JSC Turgai Petroleum-Kazakhstan-2011-10-01,BROWN
Zodiac Maritime Ltd. (Ofer Maritime Ltd.)-Israel-2011-05-26,NEUTRAL
Mongolia Ministry of Finance-Mongolia-2011-06-13,NEUTRAL
Government of Angola-Angola-2010-01-01,GREEN
Government of Viet Nam-Vietnam-2000-06-12,GREY
Government of Equatorial Guinea-Equatorial Guinea-2019-04-01,NEUTRAL
Sevan Drilling Rig II Pte Ltd-Brazil-2008-01-01,BROWN
Gecamines-Congo - Kinshasa-2006-04-07,GREY
Government of Kenya-Kenya-2010-04-13,GREEN
"Myanmar Fiber Optic Communication Network Co., Ltd. (MFOCN)-Myanmar-2017-01-25",NEUTRAL
